,Scheme_Name,Rating,Category,Launch_Date,Expense_Ratio,ret_1yr,AUM,Sortino_Ratio,Beta,Alpha,ret_3yr,ret_5yr,x,y,Scheme_Code
118759,Reliance Pharma Fund - Direct Plan Growth Plan - Growth Option,Unrated,EQ-S Pharma,1/1/2013,1.23,6.59,2720.2,-0.24,0.72,7.75,5.6,13.2,-9.608195304870605,5.569164276123047,118759
118762,Reliance Power & Infra Fund - Direct Plan Growth Plan - Bonus Option,* * *,EQ-S INFRA,1/1/2013,1.63,-29.24,1354.78,0.34,1.08,0.89,12.23,14.49,18.5820369720459,-28.26775360107422,118762
118763,Reliance Power & Infra Fund - Direct Plan Growth Plan - Growth Option,* * *,EQ-S INFRA,1/1/2013,1.63,-29.24,1354.78,0.34,1.08,0.89,12.23,14.49,18.580825805664062,-28.268056869506836,118763
118769,Reliance Quant Fund - Direct Plan Growth Plan - Growth Option,Unrated,EQ-THEMATIC,1/1/2013,0.19,-2.24,26.07,0.64,0.84,-1.17,14.41,11.71,-2.836456060409546,-33.94227600097656,118769
118770,Reliance Quant Fund - Direct Plan Growth Plan - Bonus Option,Unrated,EQ-THEMATIC,1/1/2013,0.19,-2.24,26.07,0.64,0.84,-1.17,14.41,11.71,-2.812526226043701,-33.944007873535156,118770
118777,Reliance Small Cap Fund - Direct Plan Growth Plan - Bonus Option,* * * *,EQ-SC,1/1/2013,1.15,-21.86,7259.79,0.68,0.89,7.07,18.55,26.81,-3.590886354446411,-16.137819290161133,118777
118778,Reliance Small Cap Fund - Direct Plan Growth Plan - Growth Option,* * * *,EQ-SC,1/1/2013,1.15,-21.86,7259.79,0.68,0.89,7.07,18.55,26.81,-3.5906801223754883,-16.137937545776367,118778
118780,Reliance Regular Savings Fund - Debt Option - Direct Plan - Growth Plan,Unrated,EQ-THEMATIC,1/1/2013,0.19,-2.24,26.07,0.64,0.84,-1.17,14.41,11.71,-1.4626407623291016,28.148418426513672,118780
118784,Reliance Value Fund - Direct Plan Growth Plan,* *,EQ-VAL,1/1/2013,1.5,-10.32,3037.86,0.54,0.84,-2.53,15.45,16.95,7.785194396972656,-21.043561935424805,118784
118785,Reliance Index Fund - Sensex Plan - Direct Plan Growth Plan - Bonus Option,* *,EQ-LC,1/1/2013,0.29,5.98,13.92,0.87,0.97,0.11,16.64,12.46,-4.418952941894531,-34.193397521972656,118785
118791,Reliance Index Fund - Sensex Plan - Direct Plan Growth Plan - Growth Option,* *,EQ-LC,1/1/2013,0.29,5.98,13.92,0.87,0.97,0.11,16.64,12.46,-4.747011661529541,-34.310428619384766,118791
118794,Reliance Equity Hybrid Fund  - Direct Plan Growth Plan,Unrated,EQ-T Consumption,1/1/2013,1.23,-10,74.66,0.02,0.83,-6.03,8.2,12,5.315497875213623,-11.122941017150879,118794
118796,Reliance Short Term Fund - Direct Plan Growth Plan - Growth Option,* *,EQ-MLC,2/11/2015,1.27,-9.84,1366.07,0.45,1,-2.76,13.55,-,0.3558071553707123,23.82256317138672,118796
118803,Reliance Tax Saver Fund - Direct Plan Growth Plan - Growth Option,* *,EQ-ELSS,1/1/2013,1.25,-22.71,9799.3,0.33,1.16,-5.28,10.6,16.99,8.993692398071289,-31.793315887451172,118803
118807,Reliance Medium Term Fund - Direct Plan Growth Plan - Bonus,* * * * *,EQ-LC,1/1/2013,1.2,-1.92,11793.87,0.95,1,1.63,18.32,18.33,-13.274545669555664,32.39779281616211,118807
118814,Reliance Medium Term Fund - Direct Plan Growth Plan - Growth Option,* * * * *,EQ-LC,1/1/2013,1.2,-1.92,11793.87,0.95,1,1.63,18.32,18.33,-13.259166717529297,32.40626525878906,118814
118820,Indiabulls Gilt Fund - Indirect Plan - Growth Option,* * * *,EQ-LC,1/1/2013,1.11,-0.6,293.48,0.9,1.03,0.36,17.63,14.79,20.015056610107422,21.968238830566406,118820
118825,Mirae Asset India Equity Fund - Direct Plan - Growth,* * * * *,EQ-MLC,1/1/2013,0.79,1.02,10343.39,1.11,0.96,3.17,20.27,19.84,4.171330451965332,-19.717424392700195,118825
118834,Mirae Asset Emerging Bluechip Fund - Direct Plan - Growth,* * * * *,EQ-L&MC,1/1/2013,0.87,-2.88,6367.89,1.2,0.96,4.59,22.22,27.18,6.837771892547607,-13.337798118591309,118834
118837,Mirae Asset Great Consumer Fund - Direct Plan - Growth,Unrated,EQ-T Consumption,1/1/2013,0.7,1.22,632.75,1.19,0.88,6.43,22.46,19.56,-1.724966049194336,-18.677167892456055,118837
118840,Mirae Asset Savings Fund - Direct Plan - Growth,* * * * *,EQ-MLC,1/1/2013,0.79,1.02,10343.39,1.11,0.96,3.17,20.27,19.84,-18.749021530151367,26.640066146850586,118840
118859,Mirae Asset Cash Management Fund - Direct Plan - Growth,Unrated,EQ-MC,1/22/2018,0.78,-7.05,448.55,-,-,-,-,-,-24.29804801940918,19.07377052307129,118859
118866,Taurus Tax Shield-Direct Plan-Growth Option,* * *,EQ-ELSS,1/1/2013,1.88,-1.9,62.01,0.96,0.97,1.96,18.75,16.13,0.44563576579093933,-20.825984954833984,118866
118868,Taurus Banking & Financial Services Fund-Direct Plan-Growth Option,* * *,EQ-S BANK,1/1/2013,2.14,5.11,6.03,0.99,0.94,-1,22.33,18.59,18.833738327026367,-36.379215240478516,118868
118870,Taurus Bonanza Fund-Direct Plan-Growth Option,* * *,EQ-S BANK,1/1/2013,2.14,5.11,6.03,0.99,0.94,-1,22.33,18.59,1.9770698547363281,-27.30872344970703,118870
118872,Taurus Discovery Fund-Direct Plan-Growth Option,* * *,EQ-MC,1/1/2013,2.22,-12.06,48.21,0.67,0.89,0.54,16.53,20.17,7.108117580413818,-20.229698181152344,118872
118876,Taurus Ethical Fund-Direct Plan-Growth Option,Unrated,EQ-THEMATIC,1/1/2013,1.03,-0.23,36.56,0.57,0.82,-1.18,12.85,14.17,-7.669198036193848,-20.110441207885742,118876
118879,Taurus Infrastructure Fund-Direct Plan-Growth Option,Unrated,EQ-S INFRA,1/1/2013,2.62,-15.63,4.03,0.78,0.92,5.35,16.9,17.61,13.752358436584473,-29.77193260192871,118879
118881,Taurus Nifty Index Fund-Direct Plan-Growth Option,* * *,EQ-LC,1/1/2013,1.47,4.91,2.57,0.91,0.97,-0.16,16.62,13.11,-3.924504041671753,-35.42939376831055,118881
118883,Taurus Starshare-Direct Plan-Growth Option,*,EQ-MLC,1/1/2013,2.63,-7.79,205.93,0.35,1.05,-4.24,12.5,12.46,5.00452995300293,-29.596973419189453,118883
118893,Taurus Liquid Fund-Direct Plan-SI Growth Option,*,EQ-LC,1/1/2013,2.76,-3.52,28.17,0.26,0.99,-5.48,11.02,12.31,-18.13695526123047,13.20511245727539,118893
118924,DSP BlackRock Bond Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,12.699492454528809,21.256078720092773,118924
118929,HDFC Long Term Advantage Fund -Direct Plan - Growth Option,*,EQ-S INFRA,1/1/2013,1.75,-32.23,795.7,-0.01,1.28,-4.73,6.11,11.93,-0.5990913510322571,-22.076284408569336,118929
118931,HDFC Arbitrage Fund -Direct Plan - Growth Option,Unrated,EQ-S IT,1/1/2013,2.12,17.29,241.27,0.92,0.69,0.6,16.09,11.98,-26.00099754333496,15.310385704040527,118931
118935,HDFC Capital Builder Fund -Direct Plan - Growth Option,Unrated,EQ-S IT,1/1/2013,2.12,17.29,241.27,0.92,0.69,0.6,16.09,11.98,4.8022894859313965,-20.449602127075195,118935
118942,HDFC CM Treasury Advantage Plan -Direct Plan - Retail Growth Option,* * *,EQ-VAL,1/1/2013,1.02,-7.45,4159.02,0.83,0.88,-0.63,17.94,18.06,-12.845455169677734,32.087833404541016,118942
118950,HDFC Core & Satellite Fund -Direct Plan - Growth Option,* * *,EQ-VAL,1/1/2013,1.02,-7.45,4159.02,0.83,0.88,-0.63,17.94,18.06,10.099374771118164,-29.956331253051758,118950
118955,HDFC Equity Fund -Direct Plan - Growth Option,* * *,EQ-MLC,1/1/2013,1.34,-5.84,20855.6,0.9,1.13,1.99,19.58,16.84,5.310739040374756,-34.69602584838867,118955
118961,HDFC Floating Rate Income Fund Short -Direct Plan - Wholesale Growth Option,Unrated,EQ-LC,6/9/2017,-,-7.59,1132.99,-,-,-,-,-,-15.541926383972168,29.830968856811523,118961
118968,HDFC Growth Fund -Direct Plan - Growth Option,* *,EQ-MLC,1/1/2013,1.91,-15.85,446.33,0.45,1.03,-2.84,13.07,14.6,11.277972221374512,-29.395896911621094,118968
118969,HDFC Growth Fund -Direct Plan - Dividend Option,* *,EQ-MLC,1/1/2013,1.91,-15.85,446.33,0.45,1.03,-2.84,13.07,14.6,-5.43781852722168,-3.2930848598480225,118969
118979,HDFC Infrastructure Fund -Direct Plan - Growth Option,*,EQ-S INFRA,1/1/2013,1.75,-32.23,795.7,-0.01,1.28,-4.73,6.11,11.93,11.04632568359375,-34.598594665527344,118979
118987,HDFC Medium Term Opportunities Fund -Direct Plan - Growth Option,*,EQ-S INFRA,1/1/2013,1.75,-32.23,795.7,-0.01,1.28,-4.73,6.11,11.93,1.849185824394226,25.20733070373535,118987
118989,HDFC Mid Cap Opportunities Fund -Direct Plan - Growth Option,*,EQ-S INFRA,1/1/2013,1.75,-32.23,795.7,-0.01,1.28,-4.73,6.11,11.93,7.802955150604248,-12.046431541442871,118989
118994,DSP BlackRock Regular Savings Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,7.124660491943359,2.6671254634857178,118994
119016,HDFC Short Term Opportunities Fund -Direct Plan - Growth Option,Unrated,EQ-MLC,2/25/2016,1.32,-6.42,595.98,-,-,-,-,-,-4.397486209869385,25.448780059814453,119016
119018,HDFC Top 200 Fund -Direct Plan - Growth Option,* * * *,EQ-LC,1/1/2013,1.44,-1.76,15397.69,1.06,1.09,1.84,19.59,16.12,4.953482151031494,-34.72718048095703,119018
119019,DSP BlackRock Equity & Bond Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,8.871420860290527,-11.66431713104248,119019
119028,DSP BlackRock Natural Resources and New Energy Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,21.335458755493164,-27.934751510620117,119028
119053,Tata Balanced Fund -Direct Plan- Growth,Unrated,EQ-INTL,12/23/2014,-,9.82,41.22,0.56,-,-,12.21,-,10.118124961853027,-19.93598175048828,119053
119060,HDFC TaxSaver -Direct Plan - Growth Option,* * * * *,EQ-SC,1/1/2013,0.81,-10.97,6163.89,1.03,0.75,10.64,22.37,21.49,5.411772727966309,-34.874847412109375,119060
119062,HDFC Premier Multicap -Direct Plan - Growth Option,* * * *,EQ-MC,1/1/2013,1.16,-12.76,20381.31,0.72,0.91,0.3,16.13,21.03,10.232677459716797,-34.745296478271484,119062
119069,HDFC Income Fund -Direct Plan - Growth Option,Unrated,EQ-THEMATIC,11/30/2017,-,-15.08,2991.22,-,-,-,-,-,21.932296752929688,22.299589157104492,119069
119071,DSP BlackRock Midcap Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,8.128131866455078,-12.102781295776367,119071
119075,HDFC High Interest Fund - Dynamic Plan -Direct Plan - Growth Option,*,EQ-L&MC,1/1/2013,2.21,-7.7,1218.12,0.53,0.85,-2.33,12.55,9.3,18.746074676513672,19.49750518798828,119075
119076,DSP BlackRock Equity Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,7.01834774017334,-28.15314483642578,119076
119081,HDFC HIF Short Term -Direct Plan - Growth Option,*,EQ-L&MC,1/1/2013,2.21,-7.7,1218.12,0.53,0.85,-2.33,12.55,9.3,2.367743492126465,25.45423126220703,119081
119082,DSP BlackRock Credit Risk Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,0.23710870742797852,26.308916091918945,119082
119091,HDFC Liquid Fund -Direct Plan - Growth Option,*,EQ-S INFRA,1/1/2013,1.75,-32.23,795.7,-0.01,1.28,-4.73,6.11,11.93,-15.136494636535645,12.688045501708984,119091
119092,HDFC CM Savings -Direct Plan - Growth Option,* * *,EQ-VAL,1/1/2013,1.02,-7.45,4159.02,0.83,0.88,-0.63,17.94,18.06,-15.682890892028809,12.451203346252441,119092
119096,DSP BlackRock Focus Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,13.111838340759277,-16.372711181640625,119096
119097,Tata Dynamic Bond Fund- Direct Plan-Growth,Unrated,EQ-S IT,12/28/2015,0.97,26.7,409.87,1.32,0.95,2.17,18.46,-,15.035904884338379,18.463054656982422,119097
119099,DSP BlackRock Government Securities Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,20.3862361907959,25.13618278503418,119099
119104,Tata Corporate Bond Fund- Direct Plan-Growth,* * * *,EQ-S BANK,12/18/2015,1.12,1.48,253.78,1.21,0.92,1.56,24.68,-,-15.787077903747559,28.011316299438477,119104
119106,DSP BlackRock Savings Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,-17.798500061035156,18.127531051635742,119106
119110,HDFC CM Call Plan -Direct Plan - Growth Option,* * *,EQ-VAL,1/1/2013,1.02,-7.45,4159.02,0.83,0.88,-0.63,17.94,18.06,-15.1624755859375,11.801082611083984,119110
119116,HDFC Gilt Fund Long Term Plan -Direct Plan - Growth Option,* *,EQ-MLC,1/1/2013,1.91,-15.85,446.33,0.45,1.03,-2.84,13.07,14.6,21.93325424194336,22.878263473510742,119116
119118,HDFC MF MIP LTP -Direct Plan - Growth Option,*,EQ-S INFRA,1/1/2013,1.75,-32.23,795.7,-0.01,1.28,-4.73,6.11,11.93,8.136300086975098,1.0095504522323608,119118
119125,DSP BlackRock Liquidity Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,-22.530717849731445,17.78112030029297,119125
119127,Tata Medium Term Fund- Direct Plan- Growth,* * *,EQ-LC,1/1/2013,0.43,-2.27,740.94,0.63,0.98,-1.63,14.29,13.94,12.583991050720215,19.001178741455078,119127
119128,HDFC Equity Savings Fund -Direct Plan - Growth Option,Unrated,EQ-LC,6/9/2017,-,-7.59,1132.99,-,-,-,-,-,2.9851315021514893,-5.399637699127197,119128
119131,HDFC Multiple Yield Fund Plan 2005-Direct Plan - Growth Option,* * * *,EQ-MC,1/1/2013,1.16,-12.76,20381.31,0.72,0.91,0.3,16.13,21.03,6.839471340179443,-1.4475927352905273,119131
119133,Indiabulls Blue Chip Fund - Direct Plan - Growth Option,* * *,EQ-MLC,10/30/2014,0.96,-2.36,165.76,0.62,1.04,0.03,16.17,-,1.048999547958374,-15.867548942565918,119133
119135,Indiabulls Liquid Fund - Direct Plan - Growth Option,* * * *,EQ-LC,1/1/2013,1.11,-0.6,293.48,0.9,1.03,0.36,17.63,14.79,-22.523035049438477,20.175106048583984,119135
119143,Indiabulls Ultra Short Term Fund - Direct Plan - Growth Option,Unrated,EQ-ELSS,12/20/2017,1.94,-10.68,72.77,-,-,-,-,-,-12.93528938293457,30.302888870239258,119143
119148,Essel Large Cap Equity Fund-Direct Plan-Growth Option,* * *,EQ-LC,1/1/2013,0.78,-4.47,130.74,0.65,0.95,-1.46,14.09,14,2.7384939193725586,-15.04315185546875,119148
119151,ESSEL FLEXIBLE INCOME FUND-DIRECT PLAN-GROWTH OPTION,Unrated,EQ-INTL,8/7/2013,0.92,10.43,43.86,0.54,-,-,12.67,8.67,16.599693298339844,25.688430786132812,119151
119156,Essel Regular Savings Fund-Direct Plan-Growth Option,Unrated,EQ-MLC,7/2/2018,0.52,-,159.91,-,-,-,-,-,4.640328884124756,6.9010725021362305,119156
119160,Tata Large Cap Fund -Direct Plan Growth,* * *,EQ-LC,1/1/2013,0.43,-2.27,740.94,0.63,0.98,-1.63,14.29,13.94,6.0130085945129395,-25.116992950439453,119160
119164,Essel Liquid Fund-Direct Plan-Growth Option,* * *,EQ-LC,1/1/2013,0.78,-4.47,130.74,0.65,0.95,-1.46,14.09,14,-14.341158866882324,15.01010513305664,119164
119168,Essel Short Term Fund-Direct Plan-Growth Option,Unrated,EQ-MLC,7/2/2018,0.52,-,159.91,-,-,-,-,-,-9.233677864074707,25.68511390686035,119168
119172,Tata Ethical Fund -Direct Plan Growth,Unrated,EQ-THEMATIC,1/1/2013,1.52,-6.51,522.65,0.31,0.81,-3.84,9.41,13.08,-7.759839057922363,-18.739967346191406,119172
119176,Essel 3 in 1 Fund-Direct Plan-Growth Option,Unrated,EQ-INTL,8/7/2013,0.92,10.43,43.86,0.54,-,-,12.67,8.67,4.535615921020508,7.220180988311768,119176
119177,Tata Mid Cap Growth Fund - Direct Plan Dividend,* * *,EQ-LC,1/1/2013,0.43,-2.27,740.94,0.63,0.98,-1.63,14.29,13.94,15.002708435058594,-19.263038635253906,119177
119178,Tata Mid Cap Growth Fund - Direct Plan Growth,* * *,EQ-LC,1/1/2013,0.43,-2.27,740.94,0.63,0.98,-1.63,14.29,13.94,14.222907066345215,-19.576364517211914,119178
119186,Essel Ultra Short Term Fund - Direct Plan-Growth Option,Unrated,EQ-MLC,7/2/2018,0.52,-,159.91,-,-,-,-,-,-13.026156425476074,26.907012939453125,119186
119202,Tata Equity Opportunities Fund -Direct Plan Growth,Unrated,EQ-S IT,12/28/2015,0.97,26.7,409.87,1.32,0.95,2.17,18.46,-,11.696290969848633,-16.586505889892578,119202
119205,DSP BlackRock Money Manager Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,-18.55788230895996,24.950363159179688,119205
119212,DSP BlackRock Small Cap Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,9.811426162719727,-9.724739074707031,119212
119218,DSP BlackRock Equity Opportunities Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,3.403313159942627,-15.487791061401367,119218
119226,DSP BlackRock Short Term Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,-2.6937496662139893,24.829090118408203,119226
119231,Tata Equity P/E Fund -Direct Plan Growth,Unrated,EQ-S IT,12/28/2015,0.97,26.7,409.87,1.32,0.95,2.17,18.46,-,1.953014850616455,-17.503328323364258,119231
119239,DSP BlackRock Strategic Bond Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,18.65431022644043,18.504539489746094,119239
119242,DSP BlackRock Tax Saver Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,5.4190239906311035,-16.473934173583984,119242
119243,Tata Infrastructure Fund -Direct Plan Growth,* * *,EQ-S INFRA,1/1/2013,1.95,-19.66,513.75,0.36,0.99,0.91,11.13,15.65,12.81564712524414,-28.927228927612305,119243
119247,DSP BlackRock India T.I.G.E.R. Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,12.797611236572266,-29.15675163269043,119247
119250,DSP BlackRock Top 100 Equity Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,4.148953914642334,-30.788864135742188,119250
119251,Tata Retirement Savings Fund-Direct Plan Growth,* * * *,EQ-MLC,1/1/2013,1.19,-5.62,546.08,0.74,1.11,1.36,19.16,19.85,0.5622394680976868,-15.595281600952148,119251
119252,DSP BlackRock US Flexible Equity Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,-12.92548942565918,-1.8289803266525269,119252
119255,Tata Retirement Savings Fund Moderate -Direct Plan Growth,* * * *,EQ-MLC,1/1/2013,1.19,-5.62,546.08,0.74,1.11,1.36,19.16,19.85,5.448895454406738,-13.047398567199707,119255
119256,Tata Retirement Savings Fund Conservative-Direct Plan Growth,* * * *,EQ-MLC,1/1/2013,1.19,-5.62,546.08,0.74,1.11,1.36,19.16,19.85,6.327357769012451,1.823032021522522,119256
119271,DSP BlackRock World Agriculture Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,-13.5109224319458,4.475113868713379,119271
119275,DSP BlackRock World Energy Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,-12.912781715393066,7.790866851806641,119275
119277,DSP BlackRock World Gold Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,-4.426607608795166,9.092851638793945,119277
119279,DSP BlackRock World Mining Fund - Direct Plan - Growth,Unrated,EQ-MLC,3/1/2018,-,-,72.84,-,-,-,-,-,-4.140854835510254,12.425811767578125,119279
119283,L&T  Cash Fund - Direct Plan - Growth,Unrated,EQ-INTL,1/1/2013,1.21,-3.08,33.93,0.62,-,-,1.02,-4.31,-27.976951599121094,14.391766548156738,119283
119291,L&T Equity Fund-Direct Plan-Growth,* * *,EQ-MLC,1/1/2013,1.28,-7.88,2538.09,0.59,0.96,-1.92,13.95,15.65,5.159491062164307,-26.771284103393555,119291
119292,Union Equity Fund - Direct Plan - Growth Option,* *,EQ-VAL,1/1/2013,1.79,-12.87,523.11,0.57,0.83,-2.62,14.72,15.11,-0.2716141939163208,-33.6518440246582,119292
119298,L&T Dynamic Equity Fund-Direct Plan-Growth,Unrated,EQ-THEMATIC,8/20/2014,1.55,-19.76,741.47,0.35,1.14,-4.69,11.91,-,-3.927306652069092,-8.764484405517578,119298
119303,Union Liquid Fund - Direct Plan - Growth Option,Unrated,EQ-LC,5/4/2017,2.28,-4.86,246.74,-,-,-,-,-,-20.100175857543945,15.63853931427002,119303
119307,Union Tax Saver Scheme - Direct Plan - Growth Option,*,EQ-ELSS,1/1/2013,2.67,-5.63,228.6,0.27,0.95,-4.66,10.95,11.47,0.18181651830673218,-32.502506256103516,119307
119308,L&T India Large Cap Fund - Direct Plan - Growth,* *,EQ-LC,1/1/2013,1.7,-2.89,429.73,0.62,0.97,-2.64,13.44,14.17,3.5252795219421387,-26.194028854370117,119308
119311,Union Dynamic Bond Fund - Direct Plan - Growth Option,* *,EQ-VAL,1/1/2013,1.79,-12.87,523.11,0.57,0.83,-2.62,14.72,15.11,20.57082176208496,20.640871047973633,119311
119312,Tata Young Citizens' Fund-(After 7 years)-Direct Plan  Growth,Unrated,EQ-VAL,8/3/2018,-,-,244.26,-,-,-,-,-,4.962343215942383,-12.373855590820312,119312
119318,Union Short Term Fund - Direct Plan - Growth Option,*,EQ-MLC,1/1/2013,2.31,-4.51,233.21,0.51,0.91,-2.44,12.84,10.92,-21.38075065612793,10.094608306884766,119318
119326,BARODA PIONEER BALANCE FUND - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56,3.608891010284424,-19.604585647583008,119326
119327,Union Asset Allocation Fund - Direct Plan - Growth Option,* *,EQ-VAL,1/1/2013,1.79,-12.87,523.11,0.57,0.83,-2.62,14.72,15.11,8.516223907470703,-6.148528099060059,119327
119333,Baroda Pioneer Banking and Financial Services Fund - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56,18.061546325683594,-36.434261322021484,119333
119337,Baroda Pioneer Dynamic Bond Fund - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56,13.732193946838379,20.282934188842773,119337
119341,BARODA PIONEER GILT FUND - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56,19.222755432128906,19.197032928466797,119341
119347,L&T India Prudence Fund - Direct Plan-Growth,* *,EQ-LC,1/1/2013,1.7,-2.89,429.73,0.62,0.97,-2.64,13.44,14.17,10.623311042785645,-11.082291603088379,119347
119350,BOI AXA Large & Mid Cap Equity Fund Direct Plan-Growth,*,EQ-L&MC,1/1/2013,1.81,-17.14,142.77,0.2,1.05,-5.85,10.75,11.63,-3.3262641429901123,-31.53032112121582,119350
119351,OI AXA Tax Advantage Fund-Direct Plan- Growth,Unrated,EQ-INTL,11/29/2018,0.1,-,28.37,-,-,-,-,-,4.1615447998046875,-23.324228286743164,119351
119353,BARODA PIONEER GROWTH FUND - Plan B (Direct) - Dividend Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56,8.31668472290039,-37.34824752807617,119353
119354,BARODA PIONEER GROWTH FUND - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56,5.564489364624023,-28.213600158691406,119354
119364,BOI AXA Manufacturing & Infrastructure Fund-Direct Plan-Growth,* * *,EQ-S INFRA,1/1/2013,1.6,-28.35,42.9,0.3,0.99,0.96,11.16,14.78,13.298456192016602,-32.504207611083984,119364
119367,Baroda Pioneer Large cap Fund - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56,10.971464157104492,-35.866817474365234,119367
119369,BOI AXA Liquid Fund- Direct Plan- Growth,*,EQ-L&MC,1/1/2013,1.81,-17.14,142.77,0.2,1.05,-5.85,10.75,11.63,-22.36341094970703,16.956317901611328,119369
119379,BOI AXA Ultra Short Duration Fund- Direct Plan- Growth,* * *,EQ-ELSS,1/1/2013,1.66,-17.12,196.08,0.41,1.1,-2.44,14.22,14.59,-11.915682792663574,30.960203170776367,119379
119382,BOI AXA Short Term Income Fund-Direct Plan- Growth,Unrated,EQ-ELSS,10/11/2018,-,-,45.56,-,-,-,-,-,0.7916121482849121,27.711029052734375,119382
119389,BARODA PIONEER MIP FUND - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56,9.742473602294922,1.7420810461044312,119389
119392,Baroda Pioneer Mid-cap Fund- Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56,-5.960484027862549,-13.732447624206543,119392
119393,BOI AXA Conservative Hybrid Fund Fund-Direct Plan-Growth,* * *,EQ-MLC,1/1/2013,0.83,-10.35,778.09,0.82,0.94,-0.58,13.6,17.29,5.159474849700928,1.7035895586013794,119393
119397,L&T India Special Situations Fund-Direct Plan-Growth,* *,EQ-LC,1/1/2013,1.7,-2.89,429.73,0.62,0.97,-2.64,13.44,14.17,4.448137283325195,-21.978240966796875,119397
119400,Baroda Pioneer Short Term Bond Fund - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56,-5.3495378494262695,30.717247009277344,119400
119404,L&T India Value Fund-Direct Plan-Growth,* * * *,EQ-VAL,1/1/2013,0.95,-13.62,7790.12,0.61,0.82,-2.04,15.5,22.37,7.518458843231201,-13.049139022827148,119404
119410,Baroda Pioneer Treasury Advantage Fund - Plan B (Direct) - Growth Option,* *,EQ-MLC,1/1/2013,1.67,-8.64,740.78,0.42,0.97,-2.96,12.73,13.56,-12.573369026184082,31.252765655517578,119410
119413,L&T Infrastructure Fund -Direct Plan-Growth,* * * * *,EQ-S INFRA,1/1/2013,1.01,-21.91,1797.7,0.73,1.02,5.75,17.05,21.09,15.70382022857666,-27.173152923583984,119413
