Scheme Code,Scheme Name,Rating,Category,Launch Date,Expense Ratio,ret_1yr,AUM,Sortino Ratio,Beta,Alpha,ret_3 yr,ret_5yr
119529,Aditya Birla Sun Life Government Securities Fund - Short Term Plan - Growth - Direct Plan,Unrated,EQ-INTL,1/1/2013,1.35,19.92,16.01,-0.22,-,-,6.2,5.05
119657,Aditya Birla Sun Life Income Plus - Growth - Direct Plan,Unrated,EQ-INTL,1/1/2013,1.35,19.92,16.01,-0.22,-,-,6.2,5.05
119648,Aditya Birla Sun Life Index Fund - Growth - Direct Plan,* *,EQ-LC,1/1/2013,0.5,2.7,145.28,0.8,1,-1.15,15.6,12.29
119591,Aditya Birla Sun Life India Gennext Fund - Growth - Direct Plan,Unrated,EQ-T Consumption,1/1/2013,1.48,-1.21,898.21,0.88,0.87,3.78,18.42,20.61
119618,Aditya Birla Sun Life India Opportunities Fund - Growth - Direct Plan,Unrated,EQ-T Consumption,1/1/2013,1.48,-1.21,898.21,0.88,0.87,3.78,18.42,20.61
119536,Aditya Birla Sun Life India Reforms Fund - Growth - Direct Plan,Unrated,EQ-T Consumption,1/1/2013,1.48,-1.21,898.21,0.88,0.87,3.78,18.42,20.61
119514,Aditya Birla Sun Life Infrastructure Fund - Growth - Direct Plan,* * *,EQ-S INFRA,1/1/2013,1.7,-24.72,555.4,0.25,0.98,-0.23,9.96,-
119517,Aditya Birla Sun Life International Equity Fund - Plan A - Growth - Direct Plan,Unrated,EQ-INTL,1/1/2013,2.22,14.38,58.38,0.58,-,-,13.08,6.58
119518,Aditya Birla Sun Life International Equity Fund - Plan B - Growth - Direct Plan,Unrated,EQ-THEMATIC,1/1/2013,2.23,-4.63,83.33,0.65,0.74,-0.6,13.29,11.44
132120,Aditya Birla Sun Life Latin America Equity Fund - Direct Plan - Growth Option,Unrated,EQ-THEMATIC,1/1/2013,2.23,-4.63,83.33,0.65,0.74,-0.6,13.29,11.44
119520,Aditya Birla Sun Life Long Term Advantage - Growth - Direct Plan,Unrated,EQ-THEMATIC,1/1/2013,2.23,-4.63,83.33,0.65,0.74,-0.6,13.29,11.44
133516,Aditya Birla Sun Life Manufacturing Equity Fund - Direct Plan - Growth,Unrated,EQ-THEMATIC,1/31/2015,1.79,-14.73,623.43,0.6,1.01,-1.6,-,-
119539,Aditya Birla Sun Life Medium Term Plan - Growth - Direct Plan,Unrated,EQ-THEMATIC,1/31/2015,1.79,-14.73,623.43,0.6,1.01,-1.6,-,-
119620,Aditya Birla Sun Life Midcap Fund - Growth - Direct Plan,* *,EQ-MC,1/1/2013,1.29,-17.82,2146.2,0.36,0.94,-3.42,12.72,18.85
120704,Aditya Birla Sun Life MIP - Direct Plan - Growth,* *,EQ-MC,1/1/2013,1.29,-17.82,2146.2,0.36,0.94,-3.42,12.72,18.85
120706,Aditya Birla Sun Life MIP II - Savings 5 Plan - Growth / Payment - Direct Plan,* *,EQ-MC,1/1/2013,1.29,-17.82,2146.2,0.36,0.94,-3.42,12.72,18.85
120548,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Growth /Payment - Direct Plan,* *,EQ-MC,1/1/2013,1.29,-17.82,2146.2,0.36,0.94,-3.42,12.72,18.85
120705,Aditya Birla Sun Life MIP II - Wealth 25 Plan - Growth / Payment - Direct Plan,* *,EQ-MC,1/1/2013,1.29,-17.82,2146.2,0.36,0.94,-3.42,12.72,18.85
119646,Aditya Birla Sun Life MNC Fund - Growth - Direct Plan,Unrated,EQ-T MNC,1/1/2013,1.2,-1.9,3485.67,0.54,0.82,-3.45,13.36,23.09
120572,Aditya Birla Sun Life Monthly Income - Growth - Direct Plan,Unrated,EQ-T MNC,1/1/2013,1.2,-1.9,3485.67,0.54,0.82,-3.45,13.36,23.09
120539,Aditya Birla Sun Life New Millennium Fund - Growth - Direct Plan,Unrated,EQ-T MNC,1/1/2013,1.2,-1.9,3485.67,0.54,0.82,-3.45,13.36,23.09
119659,Aditya Birla Sun Life Pure Value Fund - Growth - Direct Plan,* * *,EQ-VAL,1/1/2013,0.96,-28.19,4077.86,0.44,0.88,-3.95,12.65,21.07
119501,Aditya Birla Sun Life Savings Fund - Growth - Direct Plan,Unrated,EQ-MLC,3/5/2019,-,-,-,-,-,-,-,-
119533,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan,Unrated,EQ-MLC,3/5/2019,-,-,-,-,-,-,-,-
119498,Aditya Birla Sun Life Short Term Opportunities Fund - Growth - Direct Plan,Unrated,EQ-MLC,3/5/2019,-,-,-,-,-,-,-,-
119556,Aditya Birla Sun Life Small And Midcap Fund - Growth - Direct Plan,Unrated,EQ-MLC,3/5/2019,-,-,-,-,-,-,-,-
119546,Aditya Birla Sun Life Special Situations Fund - Growth - Direct Plan,* * *,EQ-SC,1/1/2013,1.07,-27.58,2119.63,0.49,0.86,3.54,13.22,19.29
119661,Aditya Birla Sun Life Tax Plan - Direct Plan - Growth Option,* * *,EQ-SC,1/1/2013,1.07,-27.58,2119.63,0.49,0.86,3.54,13.22,19.29
119544,Aditya Birla Sun Life Tax Relief '96 - Growth - Direct Plan,* * * * *,EQ-ELSS,1/1/2013,1.06,-3.91,7373.15,0.81,0.92,1.41,16.95,20.4
131739,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Growth Option,* * * * *,EQ-ELSS,1/1/2013,1.06,-3.91,7373.15,0.81,0.92,1.41,16.95,20.4
119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan,* * * * *,EQ-ELSS,1/1/2013,1.06,-3.91,7373.15,0.81,0.92,1.41,16.95,20.4
119550,Aditya Birla Sun Life Treasury Optimizer Plan - Direct Plan-Growth,* * * * *,EQ-ELSS,1/1/2013,1.06,-3.91,7373.15,0.81,0.92,1.41,16.95,20.4
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,* * * * *,EQ-ELSS,1/1/2013,1.06,-3.91,7373.15,0.81,0.92,1.41,16.95,20.4
135762,Axis Children's Gift Fund - Lock in - Direct Growth,Unrated,EQ-MLC,12/17/2018,-,-,852.58,-,-,-,-,-
135764,Axis Children's Gift Fund - without Lock in - Direct Growth,Unrated,EQ-MLC,12/17/2018,-,-,852.58,-,-,-,-,-
120447,Axis Constatnt Maturity 10 Year Fund - Direct Plan - Growth Option,Unrated,EQ-MLC,12/17/2018,-,-,852.58,-,-,-,-,-
141588,Axis Corporate Debt Opportunities Fund - Direct Plan Growth,Unrated,EQ-MLC,12/17/2018,-,-,852.58,-,-,-,-,-
